,level,is_unique,is_novel,is_playable
32,"##########
#----#####
#--$-#####
##-.######
##-.-#-###
#--$-#--##
#@$---$.-#
##------##
##---.---#
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}]"
33,"##########
#-$.--.###
#--$-#####
#-.-######
#-$#######
#--#######
#-########
#$########
#@-#######
##########",True,True,False
34,"##########
#####--###
#####----#
#####-$-##
#####..-##
#####-$-##
#####-.-##
#####$$-##
#@---.--##
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}]"
35,"##########
##########
##########
##########
##########
###-.-####
###-$--###
###-.$-###
#-..@-####
##########",True,True,False
36,"##########
#-########
#--#######
#-########
#--.######
#---$-####
#---$@####
#-#.-#####
#-.--$-###
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}]"
37,"##########
#--#######
#--#-#####
#-.-$-.###
#--##--###
#-$##--###
#--##-####
#-$##--###
#-.---@###
##########",True,True,"[{'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}]"
38,"##########
#.-#######
#-$-######
#---######
#--$######
#.-#######
#--#######
#-$#######
#@-#######
##########",True,True,False
39,"##########
##########
##########
##########
##########
##-#-#-###
#--..-$@##
#-$-$.-###
#-.--$####
##########",True,True,[]
40,"##########
#.-#######
#---######
#--#-#####
#-$$-#####
#--.-#####
#-.-$-####
#---$@####
#---######
##########",True,True,False
41,"##########
#----..-##
#-.$-$--##
#-####-###
#-##--####
#-##--####
#--##--###
#-$##--###
#-.---@###
##########",True,True,False
42,"##########
#----.---#
#-$---$-.#
##--####-#
##-####--#
##-###---#
##.$-##--#
##--$-#--#
##--@----#
##########",True,True,False
43,"##########
#----#####
#.---#####
#-.-$#####
#-$--#####
#---######
#-$--#####
#---######
#-@--#####
##########",True,True,False
44,"##########
#-.--.---#
#-$---$.-#
#--#-#####
#-$-######
#-.-######
#-$-######
#@---#####
##########
##########",True,True,"[{'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}]"
45,"##########
##########
##########
##########
######-.@#
######$.-#
######-$-#
######-.-#
######--##
##########",True,True,False
46,"##########
##########
##########
#####-.###
#####$$-.#
#-$-$.--.#
#--.-----#
#-#-#-$.#
#####-@-#
##########",True,True,False
47,"##########
##########
##########
##########
##########
#####--###
#--.#-$@##
#.$-#---##
#.-.---###
##########",True,True,False
48,"##########
#-########
#-########
#--#-#--##
#--.-@--##
#--#.-$.-#
#-###$-$-#
#--#--$$-#
#--------#
##########",True,True,False
49,"##########
#-########
#--.######
#--$-#####
#-$-######
#.$#######
#--#######
#-.-##-###
#-$-.----#
##########",True,True,False
50,"##########
#--.----.#
#-$-#-#--#
#--####$-#
#-####@$.#
#-###---##
#.##-#####
#-#--#####
#--------#
##########",True,True,False
51,"##########
#-.------#
#-$-$$.$-#
#--#######
#-########
#-########
#--#######
#--#######
#--.######
##########",True,True,False
52,"##########
#-@#######
#$$#######
#---######
#--.-#####
#.$--#####
#-#.-#####
#-##-#####
#--------#
##########",True,True,"[{'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}]"
53,"##########
##########
##########
######--##
#--##-$-.#
#--##-$.-#
#--##@$--#
#-###-#.-#
#--------#
##########",True,True,"[{'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}]"
54,"##########
#----#####
#-$.-#####
#..--#####
#-$$-#####
#-$--#####
#-.#######
#-$-######
#-@-######
##########",True,True,False
55,"##########
#.---#####
#---$-####
#-..$@####
#--#.-####
#-##-$####
#-#--.####
##########
##########
##########",True,True,False
56,"##########
##########
##########
##########
##########
#######.-#
##.$-$-$-#
##@$-.--.#
######---#
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}]"
57,"##########
#####--###
#####-$@##
#####..-##
#####.--##
#####-$-##
#####-.-##
#####$$-##
#-------##
##########",True,True,"[{'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}]"
58,"##########
#.-------#
#-.--$-#.#
#--##--###
#--###--##
#-####-$-#
#.-#@$--##
#--$-#-###
#--------#
##########",True,True,"[{'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}]"
59,"##########
##########
##########
#####@####
#-##$-.###
#-##--####
#--#-$####
#-$.$-#-##
#.--.---##
##########",True,True,[]
60,"##########
##########
##########
##########
####--##-#
#-$.--.-@#
#-$-$--$-#
#-#-##--##
#--------#
##########",True,True,False
61,"##########
##########
##########
####-#####
####-#####
###-..-###
###$$-$-##
#@$.-.---#
#-########
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}]"
62,"##########
#--..---##
#.$-$-#--#
#-$--#####
#--#######
#-########
#-##--####
#-$@--####
#-.--.-###
##########",True,True,False
63,"##########
##########
##########
#-########
#--#######
#--#-#####
#-$---$@##
#-.$..$###
#.-----###
##########",True,True,"[{'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}]"
64,"##########
#--------#
#--.-$$.-#
#.-####--#
#-#####.-#
#-###-#--#
#-###.$.-#
#-##@----#
#--------#
##########",True,True,False
65,"##########
#--##-@###
#-$--$-###
#--#-.####
#.$--.-###
#-.#######
#--#######
##########
##########
##########",True,True,False
66,"##########
##########
##########
#--#######
#-$#######
#.$-######
#@$-######
#$.#######
#-.--#####
##########",True,True,False
67,"##########
##########
##########
##########
######-.##
######$-.#
######-$-#
#@$-$-$-#
#-.--.---#
##########",True,True,False
68,"##########
##########
##########
##########
#.########
#--#-#####
#-$---$@#
#-.-$-#$#
#--.----.#
##########",True,True,False
69,"##########
#----#####
#-$$-#####
#.-$@#####
#-########
#--##.####
#-$---$.##
#----#-###
##########",True,True,False
70,"##########
#.---#####
#---$-####
#-..$@####
#-########
#-##--####
#-##--####
#--#--####
#.$--.####
##########",True,True,False
71,"##########
#####--###
#####-$@##
#####---##
#####.---#
#####..-##
#####$$-##
#####--###
#####---##
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}]"
72,"##########
#---######
#.$-######
#--#######
#-########
#--.######
#-$--#####
#-$.$-####
#-.#######
##########",True,True,False
73,"##########
##-@######
##$-######
#--#######
#.-#######
#-$#######
#--#.-####
##$-$-#-##
#-----.--#
##########",True,True,False
74,"##########
#--.----##
#-$--$-###
#-##-.####
#-##--####
#-##--####
#--#--####
#-$-$-####
#@----####
##########",True,True,False
75,"##########
#-########
#--#######
#-########
#--.######
#-$#######
#--$-#####
#.$-######
#--@-#####
##########",True,True,False
76,"##########
#-########
#--#######
#--#######
#-########
#--.##--##
#--#-$-$-#
#.##.$-$-#
#@------.#
##########",True,True,"[{'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': -1, 'y': 0}]"
77,"##########
#--.----##
#---$-#--#
#--##-.###
#-$-##--##
#-.##--###
#--##--###
#-####'-##
#@--#---##
##########",True,True,False
78,"##########
#####----#
#####-$-.#
#####-$--#
#######$-#
#######-.#
#######$-#
#######-@#
#######--#
##########",True,True,False
79,"##########
##########
##########
##########
##########
##########
##-#-.-$-#
#@$-$-$-.#
#-#----#-#
##########",True,True,False
80,"##########
#--.--$@-#
#-$$-#---#
#.-#######
#-$-######
#--#######
#-########
#-########
#-########
##########",True,True,False
81,"##########
##########
##########
##########
##########
#######-.#
######-$-#
######$.-#
#-$-$--.-#
##########",True,True,False
82,"##########
#####--###
#####-$@##
#####..-##
#####.--##
#####-$-##
#####-.-##
#####$$-##
#------###
##########",True,False,"[{'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}, {'x': 0, 'y': 1}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}]"
83,"##########
#----#####
#-$.-#####
#-$--#####
#-.#######
#-########
#--#######
#.$#######
#-@--#####
##########",True,True,"[{'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 0, 'y': -1}, {'x': 1, 'y': 0}, {'x': 0, 'y': 1}]"
84,"##########
#--#######
#-########
#--.##--##
#.$-$--$-#
#--####.-#
#-#-##-$-#
#@$-----.#
###-##--##
##########",True,True,False
85,"##########
#####--###
#####-.###
#####---##
#####-$-##
#####..-##
#####-$-##
#####-.-##
##-@---.-#
##########",True,True,False
86,"##########
#---.---##
#--$-#-$@#
#.-####$-#
#--####--#
#.-####--#
#.########
#-########
#-########
##########",True,True,False
87,"##########
##########
##########
##########
#######--#
#######$-#
###-$##--#
#--$-##..#
#-.----$@#
##########",True,True,False
88,"##########
#-########
#--#######
#--#######
#-########
#--.##--##
#-$---$.-#
#.$--.-$-#
#-.##-@-##
##########",True,True,False
89,"##########
#######--#
########-#
#######-.#
#######-$#
#######--#
######-$.#
######.$-#
###@$-.-.#
##########",True,True,False
90,"##########
##########
##########
##########
##########
######-.##
######$-.#
#-$-$-.--#
#@-.#--$.#
##########",True,True,False
91,"##########
##########
##########
#######@##
######-$-#
######$..#
######-..#
####-$-$-#
####--.--#
##########",True,True,False
92,"##########
#--#######
#-########
#--.#--###
#--$$-$-##
#.##.-$@##
#--#--####
#--#-#####
#--.---###
##########",True,True,"[{'x': -1, 'y': 0}, {'x': -1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': -1}, {'x': -1, 'y': 0}, {'x': 0, 'y': 1}]"
93,"##########
#.-#######
#-$-.#####
#--$--####
#-#--#####
#-#--#####
#-#-$#####
#.#--.####
#-----####
##########",True,True,False
94,"##########
##########
##########
#######--#
#######$-#
#######.-#
##@$-----#
#-$.$-#-.#
##-------#
##########",True,True,False
95,"##########
#-########
#--#######
#-########
#-###-####
#-.$---###
#-$.-$-###
#-#--.$@##
#-----####
##########",True,True,False
96,"##########
#-.------#
#-.--$-$-#
#--#-#####
#-$-######
#.-#######
#-$#######
#@########
#-########
##########",True,True,False
97,"##########
#--.----.#
#-$-#-$-##
#--#######
#-####-###
#-####-###
#-####-###
#-##-.$-##
#@-----###
##########",True,True,[]
98,"##########
#@-#######
#$########
#--#######
#-########
#-###-####
#---$.---#
#-$.-$-.-#
#-.---####
##########",True,True,[]
